Seconds elapsed,Metres from animatedLocation to lastReceivedLocation
71.474,232.91045536712983
71.482,232.91045536712983
71.5,232.91045536712983
71.516,232.91045536712983
71.542,232.91045536712983
71.549,232.91045536712983
71.582,232.91045536712983
71.599,232.91045536712983
71.625,232.91045536712983
71.633,232.91045536712983
71.657,232.91045536712983
71.666,232.91045536712983
71.682,232.91045536712983
71.699,232.91045536712983
71.727,232.91045536712983
71.732,232.91045536712983
71.75,232.91045536712983
71.766,232.91045536712983
71.782,232.91045536712983
71.799,232.91045536712983
71.828,232.91045536712983
71.832,232.91045536712983
71.857,232.91045536712983
71.866,232.91045536712983
71.883,232.91045536712983
71.899,232.91045536712983
71.922,232.91045536712983
71.949,232.91045536712983
71.966,232.91045536712983
71.983,232.91045536712983
71.999,232.91045536712983
72.016,232.91045536712983
72.033,232.91045536712983
72.049,232.91045536712983
72.066,232.91045536712983
72.083,232.91045536712983
72.098,232.91045536712983
72.116,232.91045536712983
72.133,232.91045536712983
72.149,232.91045536712983
72.166,232.91045536712983
72.183,232.91045536712983
72.199,232.91045536712983
72.216,232.91045536712983
72.233,232.91045536712983
72.249,232.91045536712983
72.266,232.91045536712983
72.283,232.91045536712983
72.299,232.91045536712983
72.315,232.91045536712983
72.333,232.91045536712983
72.349,232.91045536712983
72.366,232.91045536712983
72.383,232.91045536712983
72.399,232.91045536712983
72.416,232.91045536712983
72.432,232.91045536712983
72.449,232.91045536712983
72.466,232.91045536712983
72.483,232.91045536712983
72.499,232.91045536712983
72.516,232.91045536712983
72.533,232.91045536712983
72.549,232.91045536712983
72.566,232.91045536712983
72.583,232.91045536712983
72.599,232.91045536712983
72.616,232.91045536712983
72.633,232.91045536712983
72.649,232.91045536712983
72.666,232.91045536712983
72.683,232.91045536712983
72.699,232.91045536712983
72.716,232.59657478111922
72.733,231.32758637136683
72.749,230.05898483183688
72.778,227.82633005846347
72.782,227.54574600960183
72.809,225.47383217372817
72.816,224.9254720059482
72.832,223.67831454682144
72.849,222.4012946067358
72.877,220.27375706210017
72.882,219.87767704080767
72.911,217.69398694103575
72.915,217.32709445644076
72.943,215.23757776554763
72.949,214.76121387945085
72.976,212.68091095640835
72.982,212.21154343629422
73.01,210.10329700086965
73.016,209.65804381942084
73.032,208.3604893504471
73.049,207.08444522355114
73.066,205.81169130140185
73.082,204.5387136186365
73.099,203.26173909174483
73.116,201.9881572282637
73.132,200.71434200269482
73.149,199.4402998014709
73.166,198.16548062761728
73.183,196.87906949005185
73.199,195.6166605822852
73.216,194.34133313769658
73.234,192.9669453893858
73.249,191.79186075253403
73.266,190.51387939104367
73.283,189.2427992309707
73.299,187.9598577038811
73.316,186.69350433440022
73.333,185.41567658992784
73.349,184.1445393248584
73.366,182.87003772742713
73.383,181.5904414446509
73.399,180.30819382397968
73.416,179.03922552984392
73.433,177.7655015297708
73.449,176.49703558406753
73.466,175.22185641579458
73.482,173.94569540798875
73.499,172.66995029834652
73.516,171.39823858977175
73.533,170.1191766378966
73.549,168.84901970472228
73.566,167.55905617768576
73.583,166.27851671068834
73.599,165.0202591008127
73.616,163.74985652988573
73.633,162.47300525073442
73.649,161.18885717181874
73.666,159.8872507237791
73.683,158.65000259036898
73.699,157.36974782472046
73.716,156.10318511140807
73.732,154.826842997678
73.749,153.55041782825768
73.766,152.27634422458004
73.782,151.00298418158914
73.799,149.7290356039685
73.816,148.44701178616944
73.832,147.17956148531957
73.849,145.90107646343313
73.866,144.62958256728248
73.883,143.3538334178415
73.899,142.08114966260385
73.916,140.8053879780447
73.933,139.51897090519535
73.949,138.25643080631474
73.966,136.97928404843145
73.983,135.6839830900049
73.999,134.43226534967903
74.016,133.15809826656954
74.032,132.45663312917645
74.066,132.45663312917645
74.083,132.45663312917645
74.107,132.45663312917645
74.116,132.45663312917645
74.142,132.45663312917645
74.149,132.45663312917645
74.18,132.45663312917645
74.182,132.45663312917645
74.21,132.45663312917645
74.215,132.45663312917645
74.243,132.45663312917645
74.249,132.45663312917645
74.278,132.45663312917645
74.282,132.45663312917645
74.299,132.45663312917645
74.316,132.45663312917645
74.332,132.45663312917645
74.349,132.45663312917645
74.366,132.45663312917645
74.383,132.45663312917645
74.414,132.45663312917645
74.415,132.45663312917645
74.432,132.45663312917645
74.449,132.45663312917645
74.466,132.45663312917645
74.483,132.45663312917645
74.499,132.45663312917645
74.516,132.45663312917645
74.533,132.45663312917645
74.549,132.45663312917645
74.566,132.45663312917645
74.582,132.45663312917645
74.599,132.45663312917645
74.616,132.45663312917645
74.633,132.45663312917645
74.649,132.45663312917645
74.666,132.45663312917645
74.682,132.45663312917645
74.699,132.45663312917645
74.716,132.45663312917645
74.733,132.45663312917645
74.749,132.45663312917645
74.766,132.45663312917645
74.783,132.45663312917645
74.799,132.45663312917645
74.816,132.45663312917645
74.832,132.45663312917645
74.849,132.45663312917645
74.866,132.45663312917645
74.882,132.45663312917645
74.899,132.45663312917645
74.916,132.45663312917645
74.933,132.45663312917645
74.949,132.45663312917645
74.966,132.45663312917645
74.982,263.9623474944463
74.999,263.9623474944463
75.016,263.9623474944463
75.032,263.9623474944463
75.049,263.9623474944463
75.066,263.9623474944463
75.083,263.9623474944463
75.099,263.9623474944463
75.116,263.9623474944463
75.132,263.9623474944463
75.149,263.9623474944463
75.166,263.9623474944463
75.183,263.9623474944463
75.199,263.9623474944463
75.216,263.9623474944463
75.232,263.9623474944463
75.249,263.9623474944463
75.266,263.9623474944463
75.283,263.9623474944463
75.299,263.9623474944463
75.316,263.9623474944463
75.333,263.9623474944463
75.349,263.9623474944463
75.366,263.9623474944463
75.382,263.9623474944463
75.413,263.9623474944463
75.415,263.9623474944463
75.448,263.9623474944463
75.448,263.9623474944463
75.486,263.9623474944463
75.523,263.9623474944463
75.535,263.9623474944463
75.564,263.9623474944463
75.574,263.9623474944463
75.6,263.9623474944463
75.616,263.9623474944463
75.635,263.9623474944463
75.649,263.9623474944463
75.666,263.9623474944463
75.683,263.9623474944463
75.699,263.9623474944463
75.716,263.9623474944463
75.733,263.9623474944463
75.751,263.9623474944463
75.766,263.9623474944463
75.783,263.9623474944463
75.8,263.9623474944463
75.816,263.9623474944463
75.832,263.9623474944463
75.849,263.9623474944463
75.866,263.9623474944463
75.883,263.9623474944463
75.9,263.9623474944463
75.916,263.9623474944463
75.932,263.9623474944463
75.949,263.9623474944463
75.966,263.9623474944463
75.983,263.9623474944463
75.999,263.9623474944463
76.016,263.9623474944463
76.033,263.9623474944463
76.049,263.9623474944463
76.066,263.9623474944463
76.082,263.9623474944463
76.099,263.9623474944463
76.116,263.9623474944463
76.133,263.9623474944463
76.149,263.9623474944463
76.166,263.9623474944463
76.183,263.9623474944463
76.199,263.9623474944463
76.216,263.9623474944463
76.233,263.9623474944463
76.249,263.9623474944463
76.266,263.9623474944463
76.282,263.9623474944463
76.299,263.9623474944463
76.316,263.9623474944463
76.333,263.9623474944463
76.349,263.9623474944463
76.366,263.9623474944463
76.383,263.9623474944463
76.399,263.9623474944463
76.416,263.9623474944463
76.432,263.9623474944463
76.449,263.9623474944463
76.466,263.9623474944463
76.482,263.9623474944463
76.499,263.9623474944463
76.516,263.9623474944463
76.533,263.9623474944463
76.549,263.9623474944463
76.566,263.9623474944463
76.583,263.9623474944463
76.599,263.9623474944463
76.616,263.9623474944463
76.632,263.9623474944463
76.649,263.9623474944463
76.666,263.8046582168713
76.682,262.1620434369415
76.699,260.4923883546234
76.716,258.8249957455195
76.732,257.1570723235214
76.749,255.48781940788922
76.776,252.82625163005488
76.782,252.1723696675125
76.81,249.38675112409757
76.815,248.87482487395633
76.841,246.31797911475178
76.849,245.47520361040642
76.878,242.62319004395675
76.882,242.17787333739057
76.91,239.3871388882447
76.915,238.83516647377837
76.932,237.12702668402824
76.949,235.45215784954934
76.976,232.71875044211987
76.982,232.20153274048002
77.0,230.38399811127294
77.016,228.78462947238526
77.033,227.09112917297085
77.05,225.42728230787938
77.066,223.7821628873485
77.082,222.11712882926994
77.099,220.44228334096883
77.116,218.7839460377355
77.133,217.09840199096178
77.149,215.44621379539865
77.166,213.78115688221447
77.183,212.10698652169518
77.199,210.44674473663648
77.216,208.77135377183347
77.234,206.94830445575548
77.249,205.44372684479768
77.266,203.72292288349243
77.283,202.10391068737863
77.299,200.41888428891008
77.316,198.76832201148346
77.332,197.10620314183453
77.349,195.4384921233097
77.366,193.74517950016448
77.383,192.10685924392746
77.399,190.43316789964612
77.416,188.77291390613294
77.433,187.099031241682
77.449,185.43656998156465
77.466,183.76173886596322
77.482,182.10429084900346
77.499,180.430205644792
77.516,178.7540544174101
77.532,177.1015079540114
77.549,175.42829923403443
77.566,173.76845431702054
77.583,172.09404208641973
77.6,170.40428731964707
77.616,168.76631338796008
77.633,167.08937630565265
77.649,165.43271200841477
77.666,163.76299440369476
77.682,162.09865449808643
77.699,160.4281229128055
77.716,158.76445887296572
77.732,157.09561987460498
77.749,155.4305019835821
77.766,153.7505759370811
77.782,152.0923943196805
77.799,150.4276610026632
77.816,148.7505378763724
77.832,147.09183747089665
77.849,145.42490707399784
77.866,143.74442702270113
77.882,142.08966925239244
77.899,140.41494651543866
77.916,138.7506128917801
77.933,137.01354777441026
77.949,135.4147979982211
77.966,133.7531105732031
77.983,132.07595576594449
77.999,231.484027453532
78.04,231.484027453532
78.087,231.484027453532
78.132,231.484027453532
78.149,231.484027453532
78.166,231.484027453532
78.182,231.484027453532
78.215,231.484027453532
78.239,231.484027453532
78.249,231.484027453532
78.266,231.484027453532
78.282,231.484027453532
78.299,231.484027453532
78.316,231.484027453532
78.332,231.484027453532
78.349,231.484027453532
78.377,231.484027453532
78.382,231.484027453532
78.399,231.484027453532
78.421,231.484027453532
78.432,231.484027453532
78.449,231.484027453532
78.466,231.484027453532
78.483,231.484027453532
78.499,231.484027453532
78.516,231.484027453532
78.533,231.484027453532
78.549,231.484027453532
78.566,231.484027453532
78.583,231.484027453532
78.599,231.484027453532
78.616,231.484027453532
78.633,231.484027453532
78.649,231.484027453532
78.666,231.484027453532
78.683,231.484027453532
78.699,231.484027453532
78.716,231.484027453532
78.733,231.484027453532
78.749,231.484027453532
78.766,231.484027453532
78.783,231.484027453532
78.799,231.484027453532
78.816,231.484027453532
78.833,231.484027453532
78.849,231.484027453532
78.866,231.484027453532
78.883,231.484027453532
78.899,231.484027453532
78.916,231.484027453532
78.933,231.484027453532
78.949,231.484027453532
78.966,231.484027453532
78.982,231.484027453532
78.999,231.484027453532
79.016,231.484027453532
79.032,231.484027453532
79.049,231.484027453532
79.066,231.484027453532
79.083,231.484027453532
79.099,231.484027453532
79.116,231.484027453532
79.133,231.484027453532
79.149,231.484027453532
79.166,231.484027453532
79.182,231.484027453532
79.199,231.484027453532
79.216,231.484027453532
79.233,231.484027453532
79.249,231.484027453532
79.266,231.484027453532
79.282,231.484027453532
79.299,231.484027453532
79.316,231.484027453532
79.332,231.484027453532
79.349,231.484027453532
79.366,231.484027453532
79.382,231.484027453532
79.399,231.484027453532
79.416,231.484027453532
79.449,231.484027453532
79.481,231.484027453532
79.482,231.484027453532
79.499,231.484027453532
79.528,231.484027453532
79.532,231.484027453532
79.563,231.484027453532
79.565,231.484027453532
79.586,231.484027453532
79.599,231.484027453532
79.632,231.484027453532
79.656,231.484027453532
79.666,231.484027453532
79.682,231.484027453532
79.705,231.484027453532
79.716,231.484027453532
79.732,231.484027453532
79.749,231.484027453532
79.766,231.484027453532
79.782,231.484027453532
79.799,231.484027453532
79.816,231.484027453532
79.832,231.484027453532
79.849,231.484027453532
79.866,231.484027453532
79.882,231.484027453532
79.899,231.484027453532
79.916,231.484027453532
79.932,231.484027453532
79.949,231.484027453532
79.967,231.484027453532
79.983,231.484027453532
79.999,231.484027453532
80.016,231.484027453532
80.033,231.484027453532
80.051,231.484027453532
80.066,231.484027453532
80.083,231.484027453532
80.099,231.484027453532
80.116,231.484027453532
80.133,231.484027453532
80.149,231.484027453532
80.165,231.484027453532
80.183,231.484027453532
80.199,231.484027453532
80.216,231.484027453532
80.232,231.484027453532
80.249,231.484027453532
80.266,231.484027453532
80.283,231.484027453532
80.299,231.484027453532
80.316,231.484027453532
80.333,231.484027453532
80.349,231.484027453532
80.365,231.484027453532
80.383,231.484027453532
80.399,231.484027453532
80.416,231.484027453532
80.432,231.484027453532
80.449,231.484027453532
80.466,231.484027453532
80.483,231.484027453532
80.499,231.484027453532
80.516,231.484027453532
80.533,231.484027453532
80.549,231.484027453532
80.566,231.484027453532
80.582,231.484027453532
80.599,231.484027453532
80.616,231.484027453532
